League,Time,Home Team,Away Team,Score
Unknown League,Finished,Club America,Philadelphia Union,1 - 1
Unknown League,Finished,Seattle Sounders,Vancouver Whitecaps,2 - 1
Unknown League,Finished,Toluca,San Diego FC,4 - 0
Unknown League,"21:30
FRO",Dominican Republic U17 W,Canada U17 W,- - -
Unknown League,"21:36
FRO",Nicaragua U17 W,El Salvador U17 W,- - -
Unknown League,Finished,Glentoran,Cliftonville,3 - 0
Unknown League,22:30,KFUM Oslo,Fredrikstad,- - -
Unknown League,"18:45
FRO",Lyn U19,Bodo/Glimt U19,- - -
Unknown League,Finished,Rubio Nu,Cerro Porteno,2 - 0
Unknown League,Finished,Guarani,Recoleta,3 - 1
Unknown League,Finished,Libertad Asuncion,Nacional Asuncion,2 - 1
Unknown League,Finished,Al Sailiya,Al-Shahaniya,3 - 2
Unknown League,Finished,Al-Gharafa,Al Ahli Doha,1 - 4
Unknown League,Finished,Umm-Salal,Qatar SC,0 - 0
Unknown League,21:00,Krylya Sovetov,Lokomotiv Moscow,- - -
Unknown League,22:00,Rayon Sport,Police,- - -
Unknown League,Finished,Juvenes/Dogana,La Fiorita,1 - 2
Unknown League,Finished,Tre Fiori,Virtus,1 - 0
Unknown League,After Pen.,Al Ahli SC,Al Hilal,1 - 2
Unknown League,After Pen.,Al Kholood,Al Ittihad,3 - 2
Unknown League,Finished,Hibernian W,Rangers W,2 - 2
Unknown League,Finished,Celtic W,Glasgow City W,1 - 1
Unknown League,Finished,Partick Thistle W,Hearts W,1 - 4
Unknown League,"21:45
FRO",SLIFA,Ports Authority,- - -
Unknown League,"22:00
FRO",Abacha City,Star Sport Academy,- - -
Unknown League,Finished,Zilina,Podbrezova,2 - 0
Unknown League,Finished,Barcelona W,Badalona W,4 - 1
Unknown League,Finished,SV Transvaal,Inter Moengotapoe,1 - 1
Unknown League,Finished,Voorwaarts,Notch,2 - 2
Unknown League,Finished,Grasshopper W,Young Boys W,0 - 1
Unknown League,Finished,Rapperswil-Jona W,Aarau W,0 - 0
Unknown League,Finished,Thun W,Servette Geneve FC W,0 - 1
Unknown League,17:30,Al Jaish,Al-Ittihad Aleppo,- - -
Unknown League,18:30,Mashujaa,Azam,- - -
Unknown League,18:30,Pamba,Simba,- - -
Unknown League,Postponed,Point Fortin,Eagles FC,- - -
Unknown League,Finished,La Horquetta,Central FC,1 - 2
Unknown League,Finished,Prison Service,San Juan Jabloteh,2 - 1
Unknown League,Finished,Morvant Caledonia Utd,Port Of Spain,0 - 2
Unknown League,Finished,Sando,Defence Force,2 - 1
Unknown League,18:30,Kayserispor,Karagumruk,- - -
Unknown League,22:30,Besiktas,Kasimpasa,- - -
Unknown League,22:30,Konyaspor,Genclerbirligi,- - -
Unknown League,22:30,Villa,Maroons,- - -
Unknown League,Half Time,Oleksandriya,Dyn. Kyiv,0 - 2
Unknown League,21:30,Metalist 1925,SC Poltava,- - -
Unknown League,Finished,Chattanooga,Kalonji,2 - 1
Unknown League,Finished,Asheville City,Greenville,3 - 1
Unknown League,Finished,Charleston,Florida Badgers,2 - 1
Unknown League,Finished,FC Naples,Red Force,3 - 0
Unknown League,Finished,Louisville City,Southern Indiana,2 - 0
Unknown League,Finished,Motown,Hartford Athletic,0 - 2
Unknown League,Finished,Vistula,One Knoxville,1 - 3
Unknown League,Finished,BOHFS St. Louis,Union Omaha,0 - 8
Unknown League,Finished,Little Rock Rangers,FC Tulsa,2 - 4
Unknown League,Finished,San Antonio,New Stars,6 - 0
Unknown League,Finished,New Mexico,Cruizers,3 - 2
Unknown League,After ET,Sacramento Republic,"El Farolito
2",2 - 0
Unknown League,Finished,AV Alta,Valley 559 FC,0 - 1
Unknown League,Finished,Orange County SC,Laguna United,3 - 0
Unknown League,Finished,Ventura,Spokane Velocity,1 - 2
Unknown League,Finished,Tampa Bay Sun W,Brooklyn W,0 - 3
Unknown League,Finished,Dallas Trinity W,Lexington W,2 - 2
Unknown League,Half Time,Andijan,Mashal Muborak,1 - 0
Unknown League,18:45,Buxoro,Din. Samarkand,- - -
Unknown League,Finished,Rayo Zuliano,Dep. Tachira,0 - 0
Unknown League,Finished,Estudiantes Merida,Carabobo,3 - 2
Unknown League,Finished,Zamora,Portuguesa,0 - 2
Unknown League,Finished,Metropolitanos,Monagas,1 - 0
Unknown League,"19:00
FRO",Fiorentina U18 (Ita),Pistoiese U18 (Ita),- - -
Unknown League,"19:00
FRO",Sassuolo U18 (Ita),AS Police U18 (Bfa),- - -
Unknown League,"19:00
FRO",Serie D team U18 (Ita),Rijeka U18 (Cro),- - -
Unknown League,"19:00
FRO",Spezia U18 (Ita),One Touch U18 (Nga),- - -
Unknown League,"18:30
FRO",Green Buffaloes,Konkola,- - -
Unknown League,"18:30
FRO",Green Eagles,Kabwe,- - -
Unknown League,"18:30
FRO",Mufulira,Nkana,- - -
Unknown League,"18:30
FRO",Mutondo Stars,Zanaco,- - -
Unknown League,"18:30
FRO",NAPSA Stars,MUZA,- - -
Unknown League,"18:30
FRO",Nchanga Rangers,ZESCO,- - -
Unknown League,"18:30
FRO",Power Dynamos,Prison Leopards,- - -
Unknown League,"18:30
FRO",Red Arrows,Nkwazi,- - -
Unknown League,"18:30
FRO",Bulawayo Chiefs,Dynamos,- - -
Unknown League,"18:30
FRO",Herentals,Agama,- - -
Unknown League,"18:30
FRO",Manica,Scottland,- - -
